State,STUSPS,Total_2023_Pilots,Total_2023_Student_Pilot_Cert,Total_2023_Private_Pilot_Cert,Total_2023_Commcercial_Pilot_Cert,Total_2023_Airline_Transport_Pilot_Cert,Total_2023_Flight_Instructor_Cert,2023_Male_Pilots,2023_Male_Student_Pilot_Cert,2023_Male_Private_Pilot_Cert,2023_Male_Commcercial_Pilot_Cert,2023_Male_Airline_Transport_Pilot_Cert,2023_Male_Flight_Instructor_Cert,2023_Women_Total_Pilots,2023_Women_Student_Pilot,2023_Women_Private_Pilot,2023_Women_Commercial_Pilot,2023_Women_Airline_Transport_Pilot,2023_Women_Flight_Instructor,Total_2022_Pilots,Total_2022_Student_Pilot_Cert,Total_2022_Private_Pilot_Cert,Total_2022_Commcercial_Pilot_Cert,Total_2022_Airline_Transport_Pilot_Cert,Total_2022_Flight_Instructor_Cert,2022_Male_Pilots,2022_Male_Student_Pilot_Cert,2022_Male_Private_Pilot_Cert,2022_Male_Commcercial_Pilot_Cert,2022_Male_Airline_Transport_Pilot_Cert,2022_Male_Flight_Instructor_Cert,2022_Women_Total_Pilots,2022_Women_Student_Pilot,2022_Women_Private_Pilot,2022_Women_Commercial_Pilot,2022_Women_Airline_Transport_Pilot,2022_Women_Flight_Instructor,Total_2021_Pilots,Total_2021_Student_Pilot_Cert,Total_2021_Private_Pilot_Cert,Total_2021_Commcercial_Pilot_Cert,Total_2021_Airline_Transport_Pilot_Cert,Total_2021_Flight_Instructor_Cert,2021_Male_Pilots,2021_Male_Student_Pilot_Cert,2021_Male_Private_Pilot_Cert,2021_Male_Commcercial_Pilot_Cert,2021_Male_Airline_Transport_Pilot_Cert,2021_Male_Flight_Instructor_Cert,2021_Women_Total_Pilots,2021_Women_Student_Pilot,2021_Women_Private_Pilot,2021_Women_Commercial_Pilot,2021_Women_Airline_Transport_Pilot,2021_Women_Flight_Instructor,Total_2020_Pilots,Total_2020_Student_Pilot_Cert,Total_2020_Private_Pilot_Cert,Total_2020_Commcercial_Pilot_Cert,Total_2020_Airline_Transport_Pilot_Cert,Total_2020_Flight_Instructor_Cert,2020_Male_Pilots,2020_Male_Student_Pilot_Cert,2020_Male_Private_Pilot_Cert,2020_Male_Commcercial_Pilot_Cert,2020_Male_Airline_Transport_Pilot_Cert,2020_Male_Flight_Instructor_Cert,2020_Women_Total_Pilots,2020_Women_Student_Pilot,2020_Women_Private_Pilot,2020_Women_Commercial_Pilot,2020_Women_Airline_Transport_Pilot,2020_Women_Flight_Instructor,Total_2019_Pilots,Total_2019_Student_Pilot_Cert,Total_2019_Private_Pilot_Cert,Total_2019_Commcercial_Pilot_Cert,Total_2019_Airline_Transport_Pilot_Cert,Total_2019_Flight_Instructor_Cert,2019_Male_Pilots,2019_Male_Student_Pilot_Cert,2019_Male_Private_Pilot_Cert,2019_Male_Commcercial_Pilot_Cert,2019_Male_Airline_Transport_Pilot_Cert,2019_Male_Flight_Instructor_Cert,2019_Women_Total_Pilots,2019_Women_Student_Pilot,2019_Women_Private_Pilot,2019_Women_Commercial_Pilot,2019_Women_Airline_Transport_Pilot,2019_Women_Flight_Instructor,Total_2018_Pilots,Total_2018_Student_Pilot_Cert,Total_2018_Private_Pilot_Cert,Total_2018_Commcercial_Pilot_Cert,Total_2018_Airline_Transport_Pilot_Cert,Total_2018_Flight_Instructor_Cert,2018_Male_Pilots,2018_Male_Student_Pilot_Cert,2018_Male_Private_Pilot_Cert,2018_Male_Commcercial_Pilot_Cert,2018_Male_Airline_Transport_Pilot_Cert,2018_Male_Flight_Instructor_Cert,2018_Women_Total_Pilots,2018_Women_Student_Pilot,2018_Women_Private_Pilot,2018_Women_Commercial_Pilot,2018_Women_Airline_Transport_Pilot,2018_Women_Flight_Instructor
Rhode_Island,RI,25686,9727,5194,3063,7702,4540,23168,8164,4800,2832,7372,4207,2518,1563,394,231,330,333,1194,514,296,155,229,156,1080,436,282,144,218,146,114,78,14,11,11,10,1137,450,303,147,237,161,1031,377,293,137,224,149,106,73,10,10,13,12,1064,389,277,156,242,158,973,328,266,148,231,151,91,61,11,8,11,7,1002,336,288,143,235,154,913,282,273,135,223,147,89,54,15,8,12,7,966,284,292,148,242,146,880,234,278,139,229,137,86,50,14,9,13,9
South_Carolina,SC,10911,4098,2610,1492,2711,1732,9841,3423,2415,1395,2608,1606,1070,675,195,97,103,126,9921,3510,2459,1406,2546,1583,8997,2944,2286,1313,2454,1474,924,566,173,93,92,109,9133,3028,2316,1297,2492,1522,8345,2546,2169,1223,2407,1419,788,482,147,74,85,103,8362,2496,2199,1235,2432,1434,7714,2105,2083,1175,2351,1342,648,391,116,60,81,92,7697,2086,2087,1181,2343,1323,7176,1786,1992,1129,2269,1238,521,300,95,52,74,85,7096,1690,2031,1143,2232,1211,6656,1447,1951,1097,2161,1137,440,243,80,46,71,74
South_Dakota,SD,7265,3280,1755,1176,1054,923,6634,2831,1649,1128,1026,875,631,449,106,48,28,48,2757,943,781,538,495,508,2496,790,735,504,467,473,261,153,46,34,28,35,2629,875,758,514,482,475,2403,740,719,486,458,447,226,135,39,28,24,28,2519,755,797,500,467,446,2306,632,754,476,444,423,213,123,43,24,23,23,2363,640,774,495,454,441,2177,538,730,475,434,416,186,102,44,20,20,25,2335,562,790,524,459,442,2163,469,757,499,438,414,172,93,33,25,21,28
Tennessee,TN,6897,2986,1607,1124,1180,977,6285,2559,1509,1071,1146,920,612,427,98,53,34,57,17584,6364,3743,2536,4941,3180,16004,5400,3488,2385,4731,2988,1580,964,255,151,210,192,16278,5453,3597,2390,4838,3038,14897,4644,3373,2251,4629,2834,1381,809,224,139,209,204,15101,4640,3453,2231,4777,2836,13895,3965,3261,2096,4573,2641,1206,675,192,135,204,195,13955,3827,3294,2131,4703,2671,12947,3295,3135,2009,4508,2505,1008,532,159,122,195,166,12810,3125,3213,1954,4518,2410,11966,2719,3044,1862,4341,2272,844,406,169,92,177,138
Texas,TX,5514,2470,1178,828,1038,731,5010,2098,1121,793,998,685,504,372,57,35,40,46,67173,25104,14136,9510,18423,11645,61253,21559,13174,8810,17710,10756,5920,3545,962,700,713,889,63083,21820,13759,9421,18083,11182,57906,18823,12868,8784,17431,10375,5177,2997,891,637,652,807,60086,19204,13681,9252,17949,10698,55533,16633,12843,8724,17333,9994,4553,2571,838,528,616,704,57247,16928,13541,8836,17942,10092,53223,14714,12790,8384,17335,9479,4024,2214,751,452,607,613,54040,14168,13673,8710,17489,9467,50570,12396,12960,8291,16923,8920,3470,1772,713,419,566,547
Utah,UT,5144,2113,1396,971,664,596,4478,1744,1230,869,635,553,666,369,166,102,29,43,12346,4346,2777,2112,3111,2480,11262,3777,2554,1960,2971,2279,1084,569,223,152,140,201,11616,3878,2658,2080,3000,2337,10648,3370,2458,1949,2871,2165,968,508,200,131,129,172,10836,3441,2542,1999,2854,2165,9990,2989,2382,1881,2738,2019,846,452,160,118,116,146,9976,3038,2455,1701,2782,1993,9261,2668,2313,1604,2676,1866,715,370,142,97,106,127,9055,2483,2295,1571,2706,1856,8460,2197,2173,1485,2605,1755,595,286,122,86,101,101
Vermont,VT,10914,4935,2568,1665,1746,1568,9811,4164,2393,1557,1697,1464,1103,771,175,108,49,104,1551,613,431,275,232,243,1366,497,394,264,211,225,185,116,37,11,21,18,1450,521,419,278,232,233,1288,429,384,265,210,214,162,92,35,13,22,19,1325,406,419,261,239,223,1185,336,383,249,217,204,140,70,36,12,22,19,1283,364,432,248,239,198,1161,309,396,237,219,183,122,55,36,11,20,15,1248,306,451,255,236,193,1143,264,415,246,218,179,105,42,36,9,18,14
Virginia,VA,72720,28853,14687,9805,19375,12434,65774,24650,13574,8990,18560,11428,6946,4203,1113,815,815,1006,17677,6559,3974,2682,4462,3172,15927,5507,3714,2485,4221,2915,1750,1052,260,197,241,257,16643,5771,3866,2657,4349,3115,15083,4869,3625,2468,4121,2868,1560,902,241,189,228,247,15954,5128,3737,2628,4461,3080,14554,4361,3518,2442,4233,2852,1400,767,219,186,228,228,15385,4451,3722,2624,4588,3046,14122,3819,3493,2450,4360,2821,1263,632,229,174,228,225,14602,3792,3777,2560,4473,2894,13484,3254,3560,2398,4272,2682,1118,538,217,162,201,212
Washington,WA,28415,10961,5647,5482,6325,5510,25424,9336,5124,4961,6003,4961,2991,1625,523,521,322,549,25238,9079,6039,3433,6687,4483,22438,7508,5565,3131,6234,4042,2800,1571,474,302,453,441,24113,7969,6029,3409,6706,4401,21625,6665,5545,3131,6284,3985,2488,1304,484,278,422,416,23158,7135,5963,3363,6697,4342,20882,5977,5526,3108,6271,3944,2276,1158,437,255,426,398,22151,6211,5905,3317,6718,4223,20089,5223,5495,3076,6295,3842,2062,988,410,241,423,381,20873,5045,5985,3288,6555,4037,19079,4263,5605,3057,6154,3685,1794,782,380,231,401,352
West_Virginia,WV,74889,31519,19877,11074,12419,10790,66334,26351,18292,10077,11614,9680,8555,5168,1585,997,805,1110,2167,978,548,300,341,318,1959,836,519,280,324,294,208,142,29,20,17,24,2001,859,539,282,321,291,1813,731,515,262,305,267,188,128,24,20,16,24,1897,747,550,280,320,281,1728,635,528,263,302,257,169,112,22,17,18,24,1827,643,555,301,328,296,1682,554,537,283,308,269,145,89,18,18,20,27,1771,563,568,319,321,289,1649,488,550,306,305,269,122,75,18,13,16,20
Wisconsin,WI,4722,1688,679,850,1505,956,3913,1276,557,714,1366,803,809,412,122,136,139,153,11286,4233,3308,1462,2283,1871,10181,3555,3098,1368,2160,1727,1105,678,210,94,123,144,10623,3687,3249,1424,2263,1818,9656,3124,3041,1338,2153,1677,967,563,208,86,110,141,10120,3196,3254,1393,2277,1761,9253,2721,3044,1312,2176,1634,867,475,210,81,101,127,9658,2807,3251,1363,2237,1714,8873,2399,3049,1287,2138,1595,785,408,202,76,99,119,9319,2362,3405,1346,2206,1650,8613,2021,3201,1272,2119,1542,706,341,204,74,87,108
Wyoming,WY,10390,3572,2076,1535,3207,1957,9229,2938,1877,1374,3040,1771,1161,634,199,161,167,186,2368,927,709,373,359,360,2149,795,667,345,342,339,219,132,42,28,17,21,2252,816,703,368,365,346,2048,694,661,341,352,328,204,122,42,27,13,18,2108,712,697,339,360,336,1924,607,660,312,345,319,184,105,37,27,15,17,1987,622,681,334,350,315,1827,539,643,312,333,300,160,83,38,22,17,15,1885,511,705,336,333,295,1739,440,668,312,319,281,146,71,37,24,14,14
